153	53	0	10.0	0.96	2.85	.338	0.58	1.92	.304	0.21	0.25	.846	1.43	0.23	0.75	0.98	0.49	0.47	0.04	0.98	0.36	2.72	3
154	1088	912	29.5	2.36	4.98	.474	0.01	0.05	.137	1.02	2.46	.414	11.72	3.17	6.47	9.64	1.32	1.26	1.96	1.91	0.98	5.75	1
155	657	115	20.5	2.31	5.68	.407	1.43	3.67	.390	0.53	0.74	.727	5.13	0.18	1.46	1.63	2.75	0.39	0.03	1.05	0.84	6.58	1
156	82	0	7.8	0.40	0.79	.508	0.00	0.01	.000	0.50	1.01	.494	1.97	1.05	1.28	2.33	0.15	0.13	0.35	1.37	0.32	1.30	6
157	432	258	27.4	3.71	8.27	.448	0.87	2.34	.372	1.44	1.74	.826	7.66	0.49	2.44	2.93	3.56	1.08	0.41	1.92	1.62	9.72	8
158	1030	617	26.2	4.20	9.23	.455	0.03	0.12	.238	2.45	3.11	.790	7.89	2.38	4.00	6.38	0.98	0.59	0.84	2.89	1.25	10.88	1
159	651	393	30.8	5.35	11.05	.485	0.91	2.23	.406	2.51	2.92	.860	8.65	1.03	2.97	4.00	2.35	0.60	0.25	2.12	1.49	14.12	1
161	878	792	33.1	4.93	12.14	.406	1.41	3.95	.357	2.13	2.56	.833	10.13	0.80	2.66	3.46	6.12	1.09	0.09	1.94	2.32	13.40	1
162	316	80	18.1	1.94	4.66	.417	0.69	1.94	.356	0.60	0.85	.705	4.00	0.69	2.24	2.93	0.97	0.66	0.17	1.67	0.70	5.17	8
163	776	123	16.3	1.68	3.90	.429	0.12	0.35	.352	0.99	1.27	.779	3.27	0.19	1.13	1.32	2.47	0.52	0.02	1.63	1.02	4.46	1
164	336	128	14.5	1.43	2.49	.576	0.00	0.01	.000	0.35	0.57	.617	3.71	1.32	2.18	3.50	0.89	0.26	0.22	2.18	0.67	3.22	6
165	367	21	15.1	1.59	3.08	.514	0.00	0.02	.000	1.15	1.92	.600	3.82	1.34	2.45	3.79	0.29	0.45	0.66	2.44	0.82	4.32	8
166	1103	875	34.4	6.07	13.69	.444	1.32	3.52	.375	2.23	2.75	.811	9.76	1.02	3.34	4.36	2.94	0.90	0.29	1.64	1.48	15.69	1
167	865	349	26.7	4.64	10.32	.450	1.47	4.00	.368	3.58	4.32	.827	10.52	0.71	3.05	3.76	4.02	1.39	0.32	2.16	2.10	14.33	1
168	1107	481	24.5	2.55	6.00	.425	0.72	2.10	.341	1.16	1.59	.726	7.45	1.49	3.27	4.76	2.12	1.05	0.93	2.42	1.24	6.97	1
169	1008	995	32.4	6.72	13.59	.494	0.44	1.37	.323	3.01	4.00	.753	11.03	0.39	2.51	2.91	5.92	0.91	0.08	1.73	2.48	16.89	1
170	912	449	25.9	3.18	6.91	.460	1.53	3.77	.405	1.43	1.73	.823	8.01	0.49	2.55	3.05	3.17	1.05	0.28	1.92	1.41	9.31	1
171	873	644	27.6	2.23	5.45	.409	0.94	2.38	.393	0.67	1.16	.575	4.36	0.54	2.24	2.78	1.25	0.82	0.38	2.21	0.74	6.06	1
172	762	110	17.3	2.26	4.87	.463	1.03	2.48	.414	0.44	0.56	.780	4.75	0.81	2.26	3.08	0.71	0.37	0.28	1.69	0.39	5.98	1
